"","rgi_id","o1region","o2region","anlys_id","cenlon","cenlat","utm_zone","area_km2","conn_lvl","surge_type","term_type","glac_name","is_rgi6","termlon","termlat","zmin_m","zmax_m","zmed_m","zmean_m","slope_deg","aspect_deg","aspect_sec","dem_source","lmax_m"
"1","RGI2000-v7.0-G-13-02502",13,"13-01",812864,71.3141741438262,39.522749,42,0.607044691122846,0,3,9,"",0,71.3179058012739,39.516151618098,3837.7065,4527.205,4198.5283,4194.8584,24.480742,145.58083,4,"COPDEM30",1535
"2","RGI2000-v7.0-G-13-02614",13,"13-01",814061,71.5083866135813,39.6423655,42,6.32496163434319,0,2,9,"",0,71.5075280444611,39.6659098577365,3828.1106,4906.94,4246.169,4273.0723,14.038603,27.574377,2,"COPDEM30",5475
"3","RGI2000-v7.0-G-13-02620",13,"13-01",814268,71.5483636551282,39.621041,42,21.3453266383057,0,3,9,"Abramov Glacier",0,71.5684986679446,39.6519199436221,3647.8718,4943.698,4197.3877,4182.3555,10.169628,27.828596,2,"COPDEM90",8587
"4","RGI2000-v7.0-G-13-03758",13,"13-01",813117,71.3557377144757,39.5808485,42,5.77274808844128,0,2,9,"",0,71.3940974426514,39.5925784516932,3578.7043,4915.668,4081.618,4085.4768,22.15183,12.702087,1,"COPDEM30",5423
"5","RGI2000-v7.0-G-13-05579",13,"13-02",812832,71.3083007239011,38.9166085,42,3.62246663620803,0,3,9,"",0,71.3179062182172,38.9050090268555,3602.416,4725.026,3981.1055,4095.9192,19.078863,124.52941,4,"COPDEM30",4144
"6","RGI2000-v7.0-G-13-05590",13,"13-02",812809,71.3003140811003,38.961262,42,2.47118534740397,0,3,9,"",0,71.3063761609811,38.9803587678043,3693.1572,4514.85,4018.5525,4014.311,12.393533,17.879251,1,"COPDEM30",4509
"7","RGI2000-v7.0-G-13-05593",13,"13-02",812908,71.3241812810566,38.9675015,42,8.31401025775242,0,3,9,"",0,71.3256285314464,39.0041120374429,3159.4695,5195.6553,3948.44,3976.4875,17.252386,6.932618,1,"COPDEM30",10271
"8","RGI2000-v7.0-G-13-05599",13,"13-02",813133,71.3582692195373,38.9391875,42,2.9266074507166,0,3,9,"",0,71.3662553653619,38.9223168758781,3681.0364,5111.1255,4174.8984,4242.5376,23.743126,169.65794,5,"COPDEM30",4028
"9","RGI2000-v7.0-G-13-05605",13,"13-02",813412,71.4014098621615,38.942972,42,5.181820279783,0,3,9,"",0,71.4306736939596,38.926202305937,3655.4424,4717.701,4022.7495,4037.3923,12.858587,120.068985,4,"COPDEM30",5720
"10","RGI2000-v7.0-G-13-05608",13,"13-02",813660,71.4419579349511,38.944324,42,1.15511510831229,0,2,9,"",0,71.4446975745191,38.935912183451,4087.4133,4652.892,4321.296,4320.5146,18.774935,162.8468,5,"COPDEM30",2259
"11","RGI2000-v7.0-G-13-05609",13,"13-02",813700,71.4488065174772,38.95913,42,3.07770056938381,0,1,9,"",0,71.4782532703547,38.9480084756523,3890.2,4770.274,4247.983,4239.1064,15.366574,90.967155,3,"COPDEM30",4517
"12","RGI2000-v7.0-G-13-05613",13,"13-02",813835,71.468576438267,38.9653265,42,0.515464197245005,0,2,9,"",0,71.4696621354436,38.9587994690408,4147.084,4564.9214,4287.6396,4311.4014,16.030458,154.56049,4,"COPDEM30",1693
"13","RGI2000-v7.0-G-13-05614",13,"13-02",813905,71.4802069555085,38.9635855,42,1.35850707351631,0,2,9,"",0,71.4786828698396,38.9510819525759,3951.8435,4768.7593,4317.421,4297.111,16.870256,181.052886962891,5,"COPDEM30",2986
"14","RGI2000-v7.0-G-13-05626",13,"13-02",814460,71.583255861519,38.990589,42,21.8601178260056,0,3,9,"",0,71.6236677219393,38.9695999701999,3131.237,5219.2007,4173.293,4127.3193,16.794655,65.621315,2,"COPDEM90",13774
"15","RGI2000-v7.0-G-13-05630",13,"13-02",814134,71.5225195265957,39.0223985,42,2.0620344272339,0,3,9,"",0,71.5218358258054,39.0319170676952,4408.4375,5645.4316,5011.7925,5037.384,23.06532,349.222009658813,1,"COPDEM30",3081
"16","RGI2000-v7.0-G-13-05632",13,"13-02",814189,71.5323749550226,39.044505,42,0.581682703538063,0,2,9,"",0,71.5413578920796,39.0466959670764,4413.2695,5053.415,4866.3916,4837.6562,27.537226,66.150276,2,"COPDEM30",1545
"17","RGI2000-v7.0-G-13-05634",13,"13-02",814219,71.5395607673111,39.056755,42,0.684454017460777,0,2,9,"",0,71.5418986995519,39.0626794063108,3874.8025,4872.485,4359.289,4358.3223,35.429092,18.364632,1,"COPDEM30",1576
"18","RGI2000-v7.0-G-13-05635",13,"13-02",814377,71.5653679811277,39.052198,42,11.4438406294248,0,3,9,"",0,71.5681971781784,39.0905030453214,2810.1523,5867.537,4263.631,4151.314,24.027817,358.892575621605,1,"COPDEM30",9537
"19","RGI2000-v7.0-G-13-05638",13,"13-02",814469,71.5852298039648,39.017651,42,2.42922752593167,0,3,9,"",0,71.584705079458,39.0050815405458,3947.93,4898.512,4328.3022,4358.2524,21.031324,135.74992,4,"COPDEM30",2993
"20","RGI2000-v7.0-G-13-05644",13,"13-02",814791,71.636572230678,39.0444075,42,4.88469887266731,0,3,9,"",0,71.6564597799474,39.0445191825625,3637.34,5064.6274,4146.0156,4240.509,21.078924,39.932205,2,"COPDEM30",5528
"21","RGI2000-v7.0-G-13-05648",13,"13-02",814743,71.6303350366913,39.070899,42,1.78353435308712,0,3,9,"",0,71.6185434301358,39.0824005086097,3456.4568,4882.3584,4144.933,4160.5903,28.653458,352.962266921997,1,"COPDEM30",4090
"22","RGI2000-v7.0-G-13-05653",13,"13-02",814649,71.6147488670522,39.019888,42,4.59387023805223,0,2,9,"",0,71.642024510145,39.0190568939929,3729.1067,4890.443,4181.2466,4197.026,20.370092,44.25937,2,"COPDEM30",5631
"23","RGI2000-v7.0-G-13-05658",13,"13-02",814890,71.649865184251,39.009718,42,0.599965382100178,0,1,9,"",0,71.6519200815296,39.0173397591606,3715.938,4703.6875,4189.616,4191.522,31.370829,6.9212823,1,"COPDEM30",1882
"24","RGI2000-v7.0-G-13-05679",13,"13-02",816320,71.8416927029469,38.9035615,42,53.1271920584274,0,3,9,"",0,71.6882067860282,38.9035421128083,3697.9683,6484.0347,4696.308,4737.038,17.467035,299.235759735107,8,"COPDEM90",18858
"25","RGI2000-v7.0-G-13-05683",13,"13-02",816845,71.9119557583869,38.9432305,42,6.29475994063456,0,3,9,"",0,71.9145550006972,38.9579887512529,4308.0356,6423.2114,5643.182,5555.346,30.481665,0.40410224,1,"COPDEM30",5082
"26","RGI2000-v7.0-G-13-05693",13,"13-02",817595,72.0092071098703,38.8529165,43,129.664280736771,0,3,9,"",0,71.7738366095604,38.8259877332194,2976.3477,6691.698,4590.0986,4556.0063,19.720076,324.880233764648,8,"COPDEM90",31339
"27","RGI2000-v7.0-G-13-05715",13,"13-02",816974,71.9323519754189,38.763426,42,15.4410183082406,0,3,9,"",0,71.9102727972838,38.7868553651701,3690.466,5287.6455,4482.4385,4478.4995,19.173445,342.73387336731,1,"COPDEM90",9795
"28","RGI2000-v7.0-G-13-05770",13,"13-02",815278,71.7077551164141,38.6864205,42,2.84757286794954,0,2,9,"",0,71.6969167241856,38.6998701903216,4030.2708,5021.8447,4370.673,4427.613,21.367352,0.37986666,1,"COPDEM30",3665
"29","RGI2000-v7.0-G-13-05771",13,"13-02",815421,71.7255069511043,38.68257,42,0.971217852014523,0,2,9,"",0,71.7371777020602,38.6855142123352,4126.7324,4875.189,4350.914,4380.5654,25.33156,10.958962,1,"COPDEM30",2149
"30","RGI2000-v7.0-G-13-05778",13,"13-02",815677,71.7611429674815,38.664544,42,7.01362130390939,0,3,9,"",0,71.7568336607642,38.6849956848048,3832.8472,4900.175,4361.942,4336.5347,14.754707,0.5086724,1,"COPDEM30",5310
"31","RGI2000-v7.0-G-13-05779",13,"13-02",815448,71.7314386372408,38.6672035,42,5.22533120038196,0,3,9,"",0,71.7588636834004,38.6763834888819,4067.1816,4899.305,4503.635,4501.0903,15.976426,42.532124,2,"COPDEM30",5435
"32","RGI2000-v7.0-G-13-05791",13,"13-02",815005,71.672415877572,38.6524695,42,4.55066653746766,0,2,9,"",0,71.6651832136911,38.6740931031052,3697.8083,4951.302,4438.1562,4388.4556,17.012615,6.510278,1,"COPDEM30",5187
"33","RGI2000-v7.0-G-13-05798",13,"13-02",814783,71.6358724441705,38.631195,42,3.35047976295599,0,2,9,"",0,71.6420804041586,38.6144041093914,3698.273,5945.727,5035.1504,4805.544,22.671415,142.55844,4,"COPDEM30",6366
"34","RGI2000-v7.0-G-13-05801",13,"13-02",814614,71.6112484801444,38.616675,42,1.34806140805753,0,2,9,"",0,71.6255255180175,38.6112268436861,3931.1667,4861.1,4533.449,4485.9336,21.796875,112.97696,4,"COPDEM30",2227
"35","RGI2000-v7.0-G-13-05805",13,"13-02",814509,71.593231932183,38.5822725,42,2.89020247898629,0,2,9,"",0,71.6159615106805,38.5844986200386,3632.8245,5315.6885,4426.7026,4422.554,23.03987,64.36062,2,"COPDEM30",3974
"36","RGI2000-v7.0-G-13-05810",13,"13-02",814396,71.5668266434263,38.564663,42,7.08404967940679,0,3,9,"",0,71.6309479940216,38.5441529964535,2786.0774,5691.215,4383.608,4287.4507,22.319477,78.69375,3,"COPDEM30",9336
"37","RGI2000-v7.0-G-13-05816",13,"13-02",814239,71.5425770252605,38.5341435,42,5.56919102035145,0,2,9,"",0,71.5511511436077,38.5187281694772,3858.315,5946.166,4521.273,4625.6514,24.388283,138.94524,4,"COPDEM30",5723
